track_id,track_id,modality,source,time_day,number_of_samples,time_start,time_stop,time_total_s,time_total,avg_frequency,number_of_samples_af,time_start_af,time_stop_af,total_avg_speed,track_distance,mean_speed,max_speed,mean_accel,max_accel
1500000219639,1500000219639,car,Logger,2020-11-30 00:00:00.000,7980,2020-11-30 09:55:35.000,2020-11-30 10:08:52.900,797.9,0 days 00:13:17.900000,10.00125328988595,3268,2020-11-30 09:55:35,2020-11-30 10:08:51.100000,3.0604843350434385,2441.9604509311594,5.995075329540133,15.906584267404837,15.290407997900592,54.72470479581528
1500000219640,1500000219640,car,Logger,2020-11-30 00:00:00.000,9330,2020-11-30 10:20:44.000,2020-11-30 10:36:16.900,932.9,0 days 00:15:32.900000,10.001071926251473,6624,2020-11-30 10:20:44,2020-11-30 10:36:16.900000,9.161888279735097,8547.125576164872,12.21686750705425,28.63185183697616,26.438979791269738,98.6185172636376
1500000219641,1500000219641,car,Logger,2020-11-30 00:00:00.000,3640,2020-11-30 10:50:43.000,2020-11-30 10:56:46.900,363.9,0 days 00:06:03.900000,10.002748007694422,3269,2020-11-30 10:50:43,2020-11-30 10:56:46.900000,8.305226081047897,3022.2717708933296,8.883463222258747,16.753588321147767,15.916160938130227,65.1358691833103
1500000219642,1500000219642,car,Logger,2020-11-30 00:00:00.000,2880,2020-11-30 11:06:47.000,2020-11-30 11:11:34.900,287.9,0 days 00:04:47.900000,10.003473428273708,2431,2020-11-30 11:06:47,2020-11-30 11:11:34.900000,8.26656363141804,2379.9436694852534,9.281000028846025,20.14834023585783,17.79209264590183,69.58340123270202
1500000219643,1500000219643,car,Logger,2020-11-30 00:00:00.000,12690,2020-11-30 11:22:53.000,2020-11-30 11:44:01.900,1268.9,0 days 00:21:08.900000,10.000788084167388,7450,2020-11-30 11:22:53,2020-11-30 11:44:01.100000,10.459872648103097,13272.53240317802,13.127170821452676,41.88580738389568,25.93613120648423,317.9580738389568
1500000219644,1500000219644,car,Logger,2020-11-30 00:00:00.000,5550,2020-11-30 11:55:14.000,2020-11-30 12:04:28.900,554.9,0 days 00:09:14.900000,10.001802126509281,2951,2020-11-30 11:55:14,2020-11-30 12:04:28.900000,5.838958454105881,3240.038046183353,10.261828677517968,22.77909601668056,23.750734630591303,77.59082778301116
1500000219645,1500000219645,car,Logger,2020-11-30 00:00:00.000,9510,2020-11-30 12:15:53.000,2020-11-30 12:31:43.900,950.9,0 days 00:15:50.900000,10.00105163529288,7803,2020-11-30 12:15:53,2020-11-30 12:31:43.400000,13.992261792276889,13305.241738276092,14.570907777761521,32.0834780633005,22.50758702296256,129.431686473973
1500000219646,1500000219646,car,Logger,2020-11-30 00:00:00.000,5010,2020-11-30 12:40:57.000,2020-11-30 12:49:17.900,500.9,0 days 00:08:20.900000,10.001996406468358,3354,2020-11-30 12:40:57,2020-11-30 12:49:17.900000,7.4724503347760916,3742.950372689344,10.432687802862796,23.696982648142754,18.334826333790023,82.36982879946875
1500000219647,1500000219647,car,Logger,2020-11-30 00:00:00.000,5510,2020-11-30 12:59:51.000,2020-11-30 13:09:01.900,550.9,0 days 00:09:10.900000,10.001815211472136,4013,2020-11-30 12:59:51,2020-11-30 13:09:01.400000,7.89219898310066,4347.812419790153,10.205403038947031,20.14834023585783,14.334149494652367,69.78340125245425
1500000219648,1500000219648,car,Logger,2020-11-30 00:00:00.000,8980,2020-11-30 13:29:05.000,2020-11-30 13:44:02.900,897.9,0 days 00:14:57.900000,10.001113709767235,3806,2020-11-30 13:29:05,2020-11-30 13:44:02.300000,3.4075105697246726,3059.6037405557836,6.9895586010466575,14.32307225518419,14.190063123522954,118.85816467442173
